Close,High,Low
1.1729,1.1729,1.1729
1.1825,1.1885,1.174
1.1776,1.1835,1.1747
1.16,1.1775,1.1555
1.1713,1.1735,1.161
1.1595,1.1735,1.154
1.1491,1.1605,1.1487
1.1551,1.1565,1.1445
1.1653,1.179,1.155
1.1709,1.1725,1.1615
1.159,1.175,1.1566
1.1605,1.162,1.156
1.161,1.164,1.1565
1.1553,1.1615,1.1542
1.16,1.1612,1.1545
1.1587,1.1625,1.156
1.1555,1.161,1.1554
1.1561,1.159,1.155
1.1432,1.1565,1.1403
1.1421,1.147,1.138
1.1367,1.143,1.1346
1.1312,1.139,1.1289
1.1348,1.1365,1.1285
1.1319,1.1356,1.13
1.1335,1.1345,1.125
1.1265,1.137,1.1254
1.1325,1.1327,1.122
1.1289,1.1345,1.1281
1.1345,1.136,1.127
1.1233,1.1335,1.1222
1.128,1.1287,1.1215
1.123,1.1305,1.1223
1.1201,1.1235,1.1164
1.1237,1.1265,1.1205
1.1203,1.128,1.119
1.1063,1.121,1.106
1.1036,1.107,1.0965
1.1005,1.107,1.0944
1.0986,1.1045,1.0925
1.1044,1.1076,1.0985
1.1016,1.1045,1.0955
1.0886,1.102,1.0884
1.0918,1.0938,1.086
1.0889,1.0945,1.0881
1.082,1.088,1.0792
1.0826,1.0862,1.079
1.0883,1.092,1.08
1.0889,1.092,1.086
1.0952,1.0975,1.0875
1.1032,1.1063,1.08
1.0904,1.104,1.0892
1.0937,1.0957,1.0885
1.1,1.1007,1.0815
1.1004,1.1044,1.094
1.0971,1.1065,1.0965
1.0886,1.11,1.0882
1.0915,1.0918,1.085
1.091,1.0926,1.0865
1.0892,1.0964,1.0875
1.0906,1.091,1.083
1.0767,1.0865,1.0714
1.0739,1.079,1.068
1.0717,1.0775,1.0698
1.0757,1.0824,1.069
1.0789,1.082,1.0725
1.0782,1.0805,1.0765
1.0711,1.0785,1.0702
1.0842,1.0858,1.0705
1.0774,1.0845,1.0768
1.0744,1.088,1.0728
1.0802,1.0813,1.0725
1.0823,1.0878,1.0815
1.0769,1.083,1.0745
1.0797,1.082,1.0765
1.0703,1.0815,1.0691
1.07,1.0717,1.063
1.0633,1.07,1.0594
1.0627,1.0685,1.0611
1.0619,1.0635,1.0575
1.0616,1.066,1.0561
1.0612,1.0685,1.0596
1.0586,1.063,1.0579
1.0665,1.0668,1.058
1.0623,1.0695,1.0606
1.0591,1.064,1.057
1.0584,1.0635,1.0549
1.0577,1.0605,1.0553
1.0633,1.0635,1.056
1.0744,1.0773,1.0615
1.0815,1.0825,1.0735
1.075,1.0814,1.0743
1.08,1.0836,1.071
1.0715,1.0805,1.0705
1.0649,1.0747,1.064
1.0666,1.0675,1.0605
1.0652,1.0741,1.0649
1.0669,1.0688,1.064
1.0686,1.0709,1.0656
1.0659,1.0685,1.0623
1.0631,1.0707,1.0615
1.0579,1.062,1.0546
1.0592,1.0608,1.055
1.0593,1.0641,1.0565
1.0468,1.0625,1.045
1.0441,1.0485,1.041
1.0401,1.051,1.0395
1.042,1.0485,1.0415
1.0448,1.0478,1.0415
1.0348,1.046,1.033
1.0325,1.0404,1.0305
1.0373,1.0377,1.027
1.0284,1.037,1.026
1.0458,1.0468,1.0265
1.0471,1.0492,1.0427
1.0482,1.052,1.0435
1.0542,1.0563,1.0473
1.0422,1.051,1.0408
1.0422,1.0435,1.038
1.0313,1.044,1.029
1.0342,1.0355,1.029
1.0387,1.0423,1.0295
1.0348,1.0415,1.031
1.0323,1.0355,1.0295
1.0328,1.035,1.0272
1.0408,1.0422,1.0308
1.0431,1.048,1.0405
1.0361,1.0435,1.0346
1.0335,1.0367,1.032
1.034,1.036,1.0291
1.0233,1.039,1.0203
1.0245,1.025,1.021
1.0225,1.0255,1.0217
1.0234,1.026,1.0185
1.0227,1.027,1.02
1.021,1.0227,1.0146
1.0174,1.024,1.0165
1.0156,1.02,1.0112
1.0173,1.021,1.011
1.0212,1.0227,1.0125
1.0207,1.0253,1.0185
1.0196,1.023,1.0185
1.0301,1.0341,1.0125
1.0413,1.0437,1.028
1.0523,1.055,1.044
1.0523,1.058,1.0475
1.0514,1.0547,1.0457
1.0661,1.0722,1.0515
1.0621,1.07,1.061
1.0662,1.069,1.0593
1.0726,1.0744,1.0655
1.0707,1.074,1.0677
1.0689,1.071,1.0625
1.0686,1.0704,1.0627
1.0775,1.0799,1.067
1.0758,1.0826,1.074
1.0759,1.0794,1.072
1.0706,1.0735,1.068
1.071,1.0765,1.07
1.0657,1.0725,1.0643
1.0666,1.067,1.0623
1.0567,1.07,1.0559
1.0568,1.06,1.0565
1.0513,1.0585,1.0491
1.0528,1.0562,1.05
1.0633,1.0647,1.046
1.0669,1.069,1.0625
1.0502,1.0675,1.0453
1.0531,1.0552,1.041
1.0424,1.0545,1.041
1.0448,1.047,1.0415
1.0459,1.0485,1.042
1.0461,1.0485,1.0437
1.0577,1.0608,1.0485
1.0594,1.064,1.056
1.069,1.072,1.0555
1.0615,1.072,1.0587
1.058,1.062,1.057
1.059,1.06,1.0515
1.0594,1.064,1.0567
1.0537,1.0635,1.0524
1.0357,1.056,1.0345
1.0414,1.0424,1.03
1.0355,1.0438,1.032
1.0396,1.0423,1.0286
1.0406,1.047,1.035
1.0413,1.0417,1.0385
1.0385,1.045,1.0381
1.0485,1.0501,1.0365
1.0446,1.054,1.0408
1.0439,1.048,1.0392
1.0452,1.054,1.0422
1.0474,1.048,1.0392
1.0547,1.0571,1.0445
1.0638,1.066,1.0515
1.067,1.0695,1.061
1.0739,1.0765,1.067
1.0739,1.077,1.069
1.0753,1.0762,1.067
1.0691,1.078,1.0684
1.0718,1.0748,1.0658
1.0613,1.072,1.0602
1.064,1.0655,1.061
1.0759,1.077,1.063
1.0789,1.0805,1.0736
1.079,1.0831,1.075
1.0896,1.0914,1.0765
1.0841,1.09,1.083
1.0839,1.0851,1.0776
1.0742,1.084,1.0729
1.082,1.0832,1.0745
1.0669,1.081,1.0655
1.0662,1.07,1.0635
1.0585,1.0695,1.0563
1.05,1.064,1.0475
1.0522,1.0544,1.0469
1.0542,1.056,1.0435
1.0507,1.0595,1.0483
1.0519,1.0555,1.0485
1.048,1.053,1.0457
1.0359,1.054,1.0344
1.042,1.0435,1.036
1.0387,1.046,1.0346
1.0394,1.0434,1.0365
1.0444,1.0482,1.0388
1.042,1.045,1.0395
1.0319,1.0415,1.028
1.0317,1.0345,1.0297
1.0325,1.0355,1.0299
1.0407,1.044,1.03
1.0293,1.0435,1.0263
1.031,1.0333,1.0246
1.0315,1.0341,1.029
1.0271,1.0335,1.0258
1.019,1.028,1.0156
1.019,1.021,1.0134
1.0164,1.0195,1.0076
1.0103,1.02,1.0037
1.0086,1.0145,1.0045
1.0087,1.0125,1.0047
1.0026,1.0125,1
1.0024,1.004,0.9995
1.0224,1.0267,1
1.0247,1.0295,1.0198
1.0274,1.0285,1.0223
1.0213,1.0285,1.0157
1.012,1.0225,1.0113
1.014,1.016,1.0107
1.0055,1.0145,1.0028
1.007,1.0089,1.0014
1.0167,1.019,1.0065
1.008,1.0245,1.006
1.0116,1.014,1.004
1.0086,1.015,1.0075
1.0088,1.011,1.006
1.0147,1.0179,1.007
1.013,1.016,1.0115
1.0126,1.0155,1.0106
1.0059,1.0145,1.0038
1.0054,1.0105,1.0037
1.0087,1.0092,1.0022
1.0107,1.0117,1.0045
1.0276,1.028,1.0052
1.0299,1.0342,1.0215
1.0317,1.04,1.0285
1.0299,1.0412,1.0276
1.0283,1.033,1.0256
1.0256,1.03,1.0205
1.0326,1.0337,1.0245
1.0312,1.032,1.0263
1.0257,1.0315,1.0237
1.0142,1.0223,1.0112
1.0118,1.0145,1.0075
1.0122,1.014,1.0075
1.0123,1.0127,1.0086
